height,timestamp,gas_used,gas_wanted,tx_count,total_fee_base,total_fee_osmo,fee_per_gas_osmo,load,max_gas,status,error
45947274,2025-10-10T21:03:15.277052+00:00,3068700,7299568,7,165055,0.165055,5.3786619741258515e-08,0.010229,300000000,ok,
45947275,2025-10-10T21:03:16.553223+00:00,11121260,20124260,24,406121,0.406121,3.6517534883637284e-08,0.03707086666666667,300000000,ok,
45947276,2025-10-10T21:03:18.554916+00:00,10980744,19700447,27,275226,0.275226,2.5064421864310835e-08,0.03660248,300000000,ok,
45947277,2025-10-10T21:03:19.617945+00:00,7722520,15450909,25,193491,0.193491,2.5055422323283072e-08,0.025741733333333332,300000000,ok,
45947278,2025-10-10T21:03:20.580043+00:00,4394445,7371940,8,96670,0.09667,2.1998227307430177e-08,0.01464815,300000000,ok,
45947279,2025-10-10T21:03:21.669033+00:00,3690373,6222474,7,79114,0.079114,2.143794136798638e-08,0.012301243333333333,300000000,ok,
45947280,2025-10-10T21:03:22.767548+00:00,10724924,22929068,26,291815,0.291815,2.7209050618913477e-08,0.035749746666666665,300000000,ok,
45947281,2025-10-10T21:03:25.109707+00:00,1249854,2561000,1,28172,0.028172,2.2540232699179263e-08,0.00416618,300000000,ok,
45947282,2025-10-10T21:03:26.542684+00:00,41718819,136584621,60,2085219,2.085219,4.998269486008221e-08,0.13906273,300000000,ok,
45947283,2025-10-10T21:03:27.588254+00:00,4864500,9831291,9,129806,0.129806,2.6684345770377223e-08,0.016215,300000000,ok,
45947284,2025-10-10T21:03:28.705797+00:00,3291528,5826892,9,67305,0.067305,2.0447950009843452e-08,0.01097176,300000000,ok,
45947285,2025-10-10T21:03:30.495914+00:00,4200771,7039319,13,127485,0.127485,3.0348000402783206e-08,0.01400257,300000000,ok,
45947286,2025-10-10T21:03:31.524908+00:00,2173108,3211321,4,35089,0.035089,1.6146919527239327e-08,0.007243693333333333,300000000,ok,
45947287,2025-10-10T21:03:32.670433+00:00,4868228,9350038,11,201069,0.201069,4.130229726298768e-08,0.016227426666666666,300000000,ok,
45947288,2025-10-10T21:03:33.827896+00:00,5813919,8474940,9,103581,0.103581,1.7816037684735546e-08,0.01937973,300000000,ok,
45947289,2025-10-10T21:03:34.928753+00:00,1521524,2321138,3,25017,0.025017,1.6442067295685114e-08,0.0050717466666666666,300000000,ok,
45947290,2025-10-10T21:03:36.037679+00:00,5158608,9500700,13,231242,0.231242,4.4826433797644636e-08,0.01719536,300000000,ok,
45947291,2025-10-10T21:03:36.930960+00:00,3753946,8931702,10,151444,0.151444,4.034261547715391e-08,0.012513153333333334,300000000,ok,
45947292,2025-10-10T21:03:38.008575+00:00,2161599,3194919,6,40772,0.040772,1.886196283399465e-08,0.00720533,300000000,ok,
45947293,2025-10-10T21:03:38.971788+00:00,1054891,1455280,2,35020,0.03502,3.319774270517049e-08,0.0035163033333333333,300000000,ok,
45947294,2025-10-10T21:03:40.214998+00:00,485143,700000,1,7000,0.007,1.442873544501312e-08,0.0016171433333333333,300000000,ok,
45947295,2025-10-10T21:03:41.277595+00:00,3767393,5764612,5,64958,0.064958,1.7242161887543987e-08,0.012557976666666667,300000000,ok,
45947296,2025-10-10T21:03:42.432981+00:00,2914281,8875195,4,137615,0.137615,4.7220909720099055e-08,0.00971427,300000000,ok,
45947297,2025-10-10T21:03:43.414629+00:00,3812786,7933009,11,99912,0.099912,2.6204460465391975e-08,0.012709286666666667,300000000,ok,
45947298,2025-10-10T21:03:44.391207+00:00,3735140,9856240,12,261991,0.261991,7.01422168914686e-08,0.012450466666666667,300000000,ok,
45947299,2025-10-10T21:03:45.412842+00:00,1394391,2400000,5,27505,0.027505,1.972545720676625e-08,0.00464797,300000000,ok,
45947300,2025-10-10T21:03:46.430069+00:00,4057468,7477726,12,220082,0.220082,5.424121644335827e-08,0.013524893333333333,300000000,ok,
45947301,2025-10-10T21:03:47.711330+00:00,3656942,6055143,9,71206,0.071206,1.947146003409406e-08,0.012189806666666667,300000000,ok,
45947302,2025-10-10T21:03:48.682716+00:00,8343293,14747589,16,205190,0.20519,2.45934069437571e-08,0.027810976666666667,300000000,ok,
45947303,2025-10-10T21:03:49.775932+00:00,3223146,9468824,12,121301,0.121301,3.7634348552625295e-08,0.01074382,300000000,ok,
45947304,2025-10-10T21:03:51.762375+00:00,800234,1788172,3,30705,0.030705,3.8370026767170605e-08,0.0026674466666666667,300000000,ok,
45947305,2025-10-10T21:03:52.890058+00:00,12528594,26608701,33,385785,0.385785,3.0792361856406235e-08,0.04176198,300000000,ok,
45947306,2025-10-10T21:03:54.922660+00:00,5230845,10323676,15,249309,0.249309,4.766132431758157e-08,0.01743615,300000000,ok,
45947307,2025-10-10T21:03:55.992697+00:00,8400491,17298234,23,472235,0.472235,5.621516647062654e-08,0.028001636666666666,300000000,ok,
45947308,2025-10-10T21:04:00.610901+00:00,4196496,6850072,9,100051,0.100051,2.384155733735955e-08,0.01398832,300000000,ok,
45947309,2025-10-10T21:04:02.150594+00:00,5710125,12733703,15,273471,0.273471,4.789229657844618e-08,0.01903375,300000000,ok,
45947310,2025-10-10T21:04:03.161520+00:00,9525021,18388131,19,397161,0.397161,4.1696600983871845e-08,0.03175007,300000000,ok,
45947311,2025-10-10T21:04:05.236435+00:00,1433915,3720000,5,47203,0.047203,3.291896660541245e-08,0.004779716666666667,300000000,ok,
45947312,2025-10-10T21:04:06.305616+00:00,5244877,8487590,12,100793,0.100793,1.921741920735224e-08,0.017482923333333334,300000000,ok,
45947313,2025-10-10T21:04:07.292073+00:00,4952154,9942689,10,151254,0.151254,3.054307277196953e-08,0.01650718,300000000,ok,
45947314,2025-10-10T21:04:08.614507+00:00,260814,1460490,1,146049,0.146049,5.599737744139502e-07,0.00086938,300000000,ok,
45947315,2025-10-10T21:04:09.604557+00:00,27613328,38207459,23,461121,0.461121,1.6699218580245018e-08,0.09204442666666666,300000000,ok,
45947316,2025-10-10T21:04:10.821369+00:00,0,0,0,0,0.0,0.0,0.0,300000000,ok,
45947317,2025-10-10T21:04:12.296283+00:00,8532820,16367496,24,203822,0.203822,2.3886827566970826e-08,0.028442733333333334,300000000,ok,
45947318,2025-10-10T21:04:13.424902+00:00,7037252,16376983,26,360207,0.360207,5.118574693644621e-08,0.023457506666666666,300000000,ok,
45947319,2025-10-10T21:04:14.445765+00:00,5737949,11602243,16,140605,0.140605,2.4504400439948143e-08,0.019126496666666666,300000000,ok,
45947320,2025-10-10T21:04:15.566213+00:00,20181571,26971854,14,312756,0.312756,1.5497108723597385e-08,0.06727190333333333,300000000,ok,
45947321,2025-10-10T21:04:16.673074+00:00,7698704,18079644,16,435226,0.435226,5.6532372201866704e-08,0.025662346666666665,300000000,ok,
45947322,2025-10-10T21:04:18.020645+00:00,5824382,10788005,14,267352,0.267352,4.5902209024064696e-08,0.019414606666666667,300000000,ok,
45947323,2025-10-10T21:04:19.208230+00:00,5906013,10812311,10,140493,0.140493,2.3788129149055378e-08,0.01968671,300000000,ok,
45947324,2025-10-10T21:04:20.239938+00:00,18242893,22773278,10,241472,0.241472,1.3236497084097352e-08,0.06080964333333334,300000000,ok,
45947325,2025-10-10T21:04:21.300281+00:00,1842784,2499396,5,31933,0.031933,1.732867226978311e-08,0.006142613333333333,300000000,ok,
45947326,2025-10-10T21:04:22.711360+00:00,6969171,11293105,10,141174,0.141174,2.0256928693527536e-08,0.02323057,300000000,ok,
45947327,2025-10-10T21:04:23.760311+00:00,19884447,29334035,18,316823,0.316823,1.593320649047972e-08,0.06628149,300000000,ok,
45947328,2025-10-10T21:04:24.791676+00:00,3759368,8281931,8,267147,0.267147,7.10616784523356e-08,0.012531226666666668,300000000,ok,
45947329,2025-10-10T21:04:26.293906+00:00,3324503,5694861,8,257134,0.257134,7.734509489087542e-08,0.011081676666666667,300000000,ok,
45947330,2025-10-10T21:04:27.415651+00:00,4357390,6784054,5,102489,0.102489,2.3520731447035954e-08,0.014524633333333333,300000000,ok,
45947331,2025-10-10T21:04:28.479715+00:00,27561495,39224691,25,618342,0.618342,2.2434994908657893e-08,0.09187165,300000000,ok,
45947332,2025-10-10T21:04:30.528386+00:00,5295738,8591231,8,111493,0.111493,2.105334516171306e-08,0.01765246,300000000,ok,
