timestamp,block,base_fee_gwei,tip_gwei,gas_price_gwei
2025-05-29 00:22:54+00:00,11071144,31.25,0.0,31.25
2025-05-29 00:23:00+00:00,11071145,31.25,0.0,31.25
2025-05-29 00:23:06+00:00,11071146,31.25,0.0,31.25
2025-05-29 00:23:12+00:00,11071147,31.25,0.0,31.25
2025-05-29 00:23:18+00:00,11071148,31.25,0.0,31.25
2025-05-29 00:23:24+00:00,11071149,31.25,0.0,31.25
2025-05-29 00:23:30+00:00,11071150,31.25,7.8125,39.0625
2025-05-29 00:23:36+00:00,11071151,31.25,0.0,31.25
2025-05-29 00:23:42+00:00,11071152,31.25,0.0,31.25
2025-05-29 00:23:48+00:00,11071153,31.25,2.3875,33.6375
2025-05-29 00:23:54+00:00,11071154,31.25,0.0,31.25
2025-05-29 00:24:00+00:00,11071155,31.25,0.0,31.25
2025-05-29 00:24:06+00:00,11071156,31.25,0.03125,31.28125
2025-05-29 00:24:12+00:00,11071157,31.25,6.40625,37.65625
2025-05-29 00:24:18+00:00,11071158,31.25,0.0,31.25
2025-05-29 00:24:24+00:00,11071159,31.25,3.125,34.375
2025-05-29 00:24:30+00:00,11071160,31.25,7.8125,39.0625
2025-05-29 00:24:36+00:00,11071161,31.25,0.0,31.25
2025-05-29 00:24:42+00:00,11071162,31.25,3.25,34.5
2025-05-29 00:24:48+00:00,11071163,31.25,0.0,31.25
2025-05-29 00:24:54+00:00,11071164,31.25,0.0,31.25
2025-05-29 00:25:00+00:00,11071165,31.25,0.0,31.25
2025-05-29 00:25:06+00:00,11071166,31.25,0.0,31.25
2025-05-29 00:25:12+00:00,11071167,31.25,0.0,31.25
2025-05-29 00:25:18+00:00,11071168,31.25,1.0,32.25
2025-05-29 00:25:24+00:00,11071169,31.25,0.0,31.25
2025-05-29 00:25:30+00:00,11071170,31.25,0.0,31.25
2025-05-29 00:25:36+00:00,11071171,31.25,0.0,31.25
2025-05-29 00:25:42+00:00,11071172,31.25,0.0,31.25
2025-05-29 00:25:48+00:00,11071173,31.25,3.125,34.375
2025-05-29 00:25:54+00:00,11071174,31.25,0.0,31.25
2025-05-29 00:26:00+00:00,11071175,31.25,0.0,31.25
2025-05-29 00:26:06+00:00,11071176,31.25,0.0,31.25
2025-05-29 00:26:12+00:00,11071177,31.25,0.0,31.25
2025-05-29 00:26:18+00:00,11071178,31.25,0.0,31.25
2025-05-29 00:26:24+00:00,11071179,31.25,0.0,31.25
2025-05-29 00:26:30+00:00,11071180,31.25,0.0,31.25
2025-05-29 00:26:36+00:00,11071181,31.25,0.0,31.25
2025-05-29 00:26:42+00:00,11071182,31.25,0.0,31.25
2025-05-29 00:26:48+00:00,11071183,31.25,0.0,31.25
2025-05-29 00:26:54+00:00,11071184,31.25,31.25,62.5
2025-05-29 00:27:00+00:00,11071185,31.25,0.0,31.25
2025-05-29 00:27:06+00:00,11071186,31.25,0.0,31.25
2025-05-29 00:27:12+00:00,11071187,31.25,0.0,31.25
2025-05-29 00:27:18+00:00,11071188,31.25,0.0,31.25
2025-05-29 00:27:24+00:00,11071189,31.25,7.8125,39.0625
2025-05-29 00:27:30+00:00,11071190,31.25,5.625,36.875
2025-05-29 00:27:36+00:00,11071191,31.25,6.25,37.5
2025-05-29 00:27:42+00:00,11071192,31.25,0.0,31.25
2025-05-29 00:27:48+00:00,11071193,31.25,0.0,31.25
2025-05-29 00:27:54+00:00,11071194,31.25,0.0,31.25
2025-05-29 00:28:00+00:00,11071195,31.25,0.0,31.25
2025-05-29 00:28:06+00:00,11071196,31.25,5.0,36.25
2025-05-29 00:28:12+00:00,11071197,31.25,0.0,31.25
2025-05-29 00:28:18+00:00,11071198,31.25,4.65625,35.90625
2025-05-29 00:28:24+00:00,11071199,31.25,0.0,31.25
2025-05-29 00:28:30+00:00,11071200,31.25,0.0,31.25
2025-05-29 00:28:36+00:00,11071201,31.25,0.0,31.25
2025-05-29 00:28:42+00:00,11071202,31.25,0.0,31.25
2025-05-29 00:28:48+00:00,11071203,31.25,0.0,31.25
2025-05-29 00:28:54+00:00,11071204,31.25,0.0,31.25
2025-05-29 00:29:00+00:00,11071205,31.25,0.0,31.25
2025-05-29 00:29:06+00:00,11071206,31.25,0.0,31.25
2025-05-29 00:29:12+00:00,11071207,31.25,0.0,31.25
2025-05-29 00:29:18+00:00,11071208,31.25,0.0,31.25
2025-05-29 00:29:24+00:00,11071209,31.25,0.0,31.25
2025-05-29 00:29:30+00:00,11071210,31.25,0.0,31.25
2025-05-29 00:29:36+00:00,11071211,31.25,7.8125,39.0625
2025-05-29 00:29:42+00:00,11071212,31.25,0.0,31.25
2025-05-29 00:29:48+00:00,11071213,31.25,2.5,33.75
2025-05-29 00:29:54+00:00,11071214,31.25,0.0,31.25
2025-05-29 00:30:00+00:00,11071215,31.25,2.22577191,33.47577191
2025-05-29 00:30:06+00:00,11071216,31.25,0.0,31.25
2025-05-29 00:30:12+00:00,11071217,31.25,178.90625,210.15625
2025-05-29 00:30:18+00:00,11071218,31.25,0.0,31.25
2025-05-29 00:30:24+00:00,11071219,31.25,0.0,31.25
2025-05-29 00:30:30+00:00,11071220,31.25,0.0,31.25
2025-05-29 00:30:36+00:00,11071221,31.25,0.0,31.25
2025-05-29 00:30:42+00:00,11071222,31.25,0.0,31.25
2025-05-29 00:30:48+00:00,11071223,31.25,0.0,31.25
2025-05-29 00:30:54+00:00,11071224,31.25,0.0,31.25
2025-05-29 00:31:00+00:00,11071225,31.25,0.0,31.25
2025-05-29 00:31:06+00:00,11071226,31.25,0.0,31.25
2025-05-29 00:31:12+00:00,11071227,31.25,7.8125,39.0625
2025-05-29 00:31:18+00:00,11071228,31.25,0.0,31.25
2025-05-29 00:31:24+00:00,11071229,31.25,0.0,31.25
2025-05-29 00:31:30+00:00,11071230,31.25,7.8125,39.0625
2025-05-29 00:31:36+00:00,11071231,31.25,0.0,31.25
2025-05-29 00:31:42+00:00,11071232,31.25,0.0,31.25
2025-05-29 00:31:48+00:00,11071233,31.25,0.0,31.25
2025-05-29 00:31:54+00:00,11071234,31.25,17.1875,48.4375
2025-05-29 00:32:00+00:00,11071235,31.25,0.0,31.25
2025-05-29 00:32:06+00:00,11071236,31.25,0.5,31.75
2025-05-29 00:32:12+00:00,11071237,31.25,0.0,31.25
2025-05-29 00:32:18+00:00,11071238,31.25,0.0,31.25
2025-05-29 00:32:24+00:00,11071239,31.25,0.0,31.25
2025-05-29 00:32:30+00:00,11071240,31.25,6.25,37.5
2025-05-29 00:32:36+00:00,11071241,31.25,0.0,31.25
2025-05-29 00:32:42+00:00,11071242,31.25,0.0,31.25
2025-05-29 00:32:48+00:00,11071243,31.25,0.0,31.25
2025-05-29 00:32:54+00:00,11071244,31.25,0.0,31.25
2025-05-29 00:33:00+00:00,11071245,31.25,0.0,31.25
2025-05-29 00:33:06+00:00,11071246,31.25,0.0,31.25
2025-05-29 00:33:12+00:00,11071247,31.25,31.25,62.5
2025-05-29 00:33:18+00:00,11071248,31.25,0.0,31.25
2025-05-29 00:33:24+00:00,11071249,31.25,0.0,31.25
2025-05-29 00:33:30+00:00,11071250,31.25,7.8125,39.0625
2025-05-29 00:33:36+00:00,11071251,31.25,1.0,32.25
2025-05-29 00:33:42+00:00,11071252,31.25,0.0,31.25
2025-05-29 00:33:48+00:00,11071253,31.25,1.0,32.25
2025-05-29 00:33:54+00:00,11071254,31.25,0.0,31.25
2025-05-29 00:34:00+00:00,11071255,31.25,0.0,31.25
2025-05-29 00:34:06+00:00,11071256,31.25,6.25,37.5
2025-05-29 00:34:12+00:00,11071257,31.25,0.0,31.25
2025-05-29 00:34:18+00:00,11071258,31.25,7.8125,39.0625
2025-05-29 00:34:24+00:00,11071259,31.25,0.0,31.25
2025-05-29 00:34:30+00:00,11071260,31.25,3.90625,35.15625
2025-05-29 00:34:36+00:00,11071261,31.25,0.0,31.25
2025-05-29 00:34:42+00:00,11071262,31.25,0.0,31.25
2025-05-29 00:34:48+00:00,11071263,31.25,0.0,31.25
2025-05-29 00:34:54+00:00,11071264,31.25,0.0,31.25
2025-05-29 00:35:00+00:00,11071265,31.25,1.0,32.25
2025-05-29 00:35:06+00:00,11071266,31.25,1.0,32.25
2025-05-29 00:35:12+00:00,11071267,31.25,1.0,32.25
2025-05-29 00:35:18+00:00,11071268,31.25,2.5,33.75
2025-05-29 00:35:24+00:00,11071269,31.25,0.0,31.25
2025-05-29 00:35:30+00:00,11071270,31.25,2.5,33.75
2025-05-29 00:35:36+00:00,11071271,31.25,0.0,31.25
2025-05-29 00:35:42+00:00,11071272,31.25,1.0,32.25
2025-05-29 00:35:48+00:00,11071273,31.25,0.0,31.25
2025-05-29 00:35:54+00:00,11071274,31.25,0.0,31.25
2025-05-29 00:36:00+00:00,11071275,31.25,0.0,31.25
2025-05-29 00:36:06+00:00,11071276,31.25,0.0,31.25
2025-05-29 00:36:12+00:00,11071277,31.25,0.0,31.25
2025-05-29 00:36:18+00:00,11071278,31.25,0.0,31.25
2025-05-29 00:36:24+00:00,11071279,31.25,0.0,31.25
2025-05-29 00:36:36+00:00,11071280,31.25,0.0,31.25
2025-05-29 00:36:42+00:00,11071281,31.25,0.0,31.25
2025-05-29 00:36:48+00:00,11071282,31.25,0.0,31.25
2025-05-29 00:36:54+00:00,11071283,31.25,1.0,32.25
2025-05-29 00:37:00+00:00,11071284,31.25,2.5,33.75
2025-05-29 00:37:06+00:00,11071285,31.25,0.5,31.75
2025-05-29 00:37:12+00:00,11071286,31.25,0.0,31.25
2025-05-29 00:37:18+00:00,11071287,31.25,0.0,31.25
2025-05-29 00:37:24+00:00,11071288,31.25,0.0,31.25
2025-05-29 00:37:30+00:00,11071289,31.25,5.0,36.25
2025-05-29 00:37:36+00:00,11071290,31.25,31.25,62.5
2025-05-29 00:37:42+00:00,11071291,31.25,6.25,37.5
2025-05-29 00:37:48+00:00,11071292,31.25,0.0,31.25
2025-05-29 00:37:54+00:00,11071293,31.25,0.0,31.25
2025-05-29 00:38:00+00:00,11071294,31.25,0.0,31.25
2025-05-29 00:38:06+00:00,11071295,31.25,0.0,31.25
2025-05-29 00:38:12+00:00,11071296,31.25,0.0,31.25
2025-05-29 00:38:18+00:00,11071297,31.25,7.8125,39.0625
2025-05-29 00:38:24+00:00,11071298,31.25,0.0,31.25
2025-05-29 00:38:30+00:00,11071299,31.25,1.0,32.25
2025-05-29 00:38:36+00:00,11071300,31.25,0.0,31.25
2025-05-29 00:38:42+00:00,11071301,31.25,2.5,33.75
2025-05-29 00:38:48+00:00,11071302,31.25,0.0,31.25
2025-05-29 00:38:54+00:00,11071303,31.25,0.0,31.25
2025-05-29 00:39:00+00:00,11071304,31.25,0.0,31.25
2025-05-29 00:39:06+00:00,11071305,31.25,0.0,31.25
2025-05-29 00:39:12+00:00,11071306,31.25,0.0,31.25
2025-05-29 00:39:18+00:00,11071307,31.25,0.0,31.25
2025-05-29 00:39:24+00:00,11071308,31.25,0.75,32.0
2025-05-29 00:39:30+00:00,11071309,31.25,0.0,31.25
2025-05-29 00:39:36+00:00,11071310,31.25,0.0,31.25
2025-05-29 00:39:42+00:00,11071311,31.25,0.0,31.25
2025-05-29 00:39:54+00:00,11071312,31.25,0.0,31.25
2025-05-29 00:40:00+00:00,11071313,31.25,0.0,31.25
2025-05-29 00:40:06+00:00,11071314,31.25,0.5,31.75
2025-05-29 00:40:12+00:00,11071315,31.25,0.0,31.25
2025-05-29 00:40:18+00:00,11071316,31.25,0.0,31.25
2025-05-29 00:40:24+00:00,11071317,31.25,0.0,31.25
2025-05-29 00:40:30+00:00,11071318,31.25,0.0,31.25
2025-05-29 00:40:36+00:00,11071319,31.25,0.0,31.25
2025-05-29 00:40:42+00:00,11071320,31.25,0.0,31.25
2025-05-29 00:40:48+00:00,11071321,31.25,0.0,31.25
2025-05-29 00:40:54+00:00,11071322,31.25,0.0,31.25
2025-05-29 00:41:00+00:00,11071323,31.25,0.0,31.25
2025-05-29 00:41:06+00:00,11071324,31.25,0.0,31.25
2025-05-29 00:41:12+00:00,11071325,31.25,0.0,31.25
2025-05-29 00:41:18+00:00,11071326,31.25,0.0,31.25
2025-05-29 00:41:24+00:00,11071327,31.25,5.0,36.25
2025-05-29 00:41:30+00:00,11071328,31.25,0.0,31.25
2025-05-29 00:41:36+00:00,11071329,31.25,7.8125,39.0625
2025-05-29 00:41:42+00:00,11071330,31.25,0.0,31.25
2025-05-29 00:41:48+00:00,11071331,31.25,0.0,31.25
